candidate,votes,total expenditures,travel expenses,"compensation of campaigners, etc.",communications,"stationery, printing, and distribution",employment of poll watchers,"rent, maintenance, etc.",political meetings and rallies,pol ads,employment of counsel,copying and classifying list of voters,printing of sample ballots,facebook - number of candidate posts,facebook - total comments,facebook - total shares,facebook - total reactions,win
Vangie Abejo,656006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,84.0,108.0,0.0
Toti Casino,580853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1011.0,3445869.0,665385.0,0.0
Abner Afuang,559001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,436.0,15473.0,76567.0,0.0
Shariff Albani,496855,735628.0,400000.0,0.0,0.0,335628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,186.0,51597.0,11338.0,0.0
Dan Roleda,469840,65607.35,31976.45,0.0,0.0,0.0,0.0,0.0,0.0,33630.9,0.0,0.0,0.0,173.0,1959.0,621087.0,7587027.0,0.0
Gen Pederalismo,449785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,228.0,216620.0,14726.0,0.0
Lady Ann Sahidulla,444096,992346.77,116998.72,265300.0,24342.5,45553.25,44000.0,0.0,83352.3,0.0,112800.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0
BFG Abraham,434697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Alfajora,404513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,41.0,59.0,256.0,0.0
Marcelino Arias,404513,1506000.0,194000.0,195000.0,20000.0,943000.0,30000.0,2000.0,50000.0,10000.0,10000.0,2000.0,50000.0,37.0,44.0,4488.0,1398.0,0.0
Sonny Matula,400339,500234.38,70774.95,0.0,38673.0,140750.0,0.0,0.0,13446.73,236589.7,0.0,0.0,0.0,55.0,134.0,49055.0,218587.0,0.0
Elmer Francisco,395427,2911318.25,34673.13,1396000.0,200.0,100000.0,601500.0,739687.56,10500.0,28757.56,0.0,0.0,0.0,8.0,21.0,355.0,2756.0,0.0
Joan Nalliw,390165,299310.0,60000.0,0.0,0.0,239310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,500.0,90368.0,216012.0,0.0
